TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Namibia,8134000,202205,08 - Fruit and nuts,10153.7,529856
Exports,Namibia,8135000,202205,08 - Fruit and nuts,18384.31,1277152
Exports,Namibia,8112090,202205,08 - Fruit and nuts,979.04,40591
Exports,Namibia,8119085,202205,08 - Fruit and nuts,64.98,3212
Exports,Namibia,8111090,202205,08 - Fruit and nuts,200.23,35820
Exports,Namibia,8111010,202205,08 - Fruit and nuts,98.8,9040
Exports,Namibia,8101000,202205,08 - Fruit and nuts,4685.17,160590
Exports,Namibia,8102000,202205,08 - Fruit and nuts,1778.7,114115
Exports,Namibia,8103000,202205,08 - Fruit and nuts,80.68,7645
Exports,Namibia,8094000,202205,08 - Fruit and nuts,3925.31,60135
Exports,Namibia,8081000,202205,08 - Fruit and nuts,597798.13,4229799
Exports,Namibia,8072000,202205,08 - Fruit and nuts,2917.93,61955
Exports,Namibia,8055010,202205,08 - Fruit and nuts,15491.42,104058
Exports,Namibia,8054010,202205,08 - Fruit and nuts,869.01,9502
Exports,Namibia,8052990,202205,08 - Fruit and nuts,901.14,43207
Exports,Namibia,8045010,202205,08 - Fruit and nuts,1772.62,38100
Exports,Namibia,8051090,202205,08 - Fruit and nuts,22376.9,123502
Exports,Namibia,8045090,202205,08 - Fruit and nuts,992.44,83747
Exports,Namibia,8044090,202205,08 - Fruit and nuts,204.81,10194
Exports,Namibia,8029990,202205,08 - Fruit and nuts,793.4,98034
Exports,Namibia,8029912,202205,08 - Fruit and nuts,51.81,12230
Exports,Namibia,8021200,202205,08 - Fruit and nuts,218.22,24591
Exports,Namibia,8011910,202205,08 - Fruit and nuts,215.34,6016
Exports,Namibia,8011990,202205,08 - Fruit and nuts,1152.78,20967
Exports,Namibia,8013200,202205,08 - Fruit and nuts,134.85,20393
Exports,Namibia,8012200,202205,08 - Fruit and nuts,14.8,3994
Exports,Namibia,8119090,202205,08 - Fruit and nuts,5137.23,651685
Exports,Namibia,8129090,202205,08 - Fruit and nuts,6731.33,151799
Exports,Namibia,8121000,202205,08 - Fruit and nuts,153.59,13053
Exports,Namibia,8129015,202205,08 - Fruit and nuts,55.8,4120
Exports,Namibia,8109090,202205,08 - Fruit and nuts,9097.48,297105
Exports,Namibia,8107000,202205,08 - Fruit and nuts,88.89,1659
Exports,Namibia,8109010,202205,08 - Fruit and nuts,218.44,8187
Exports,Namibia,8104000,202205,08 - Fruit and nuts,2162.31,135824
Exports,Namibia,8105000,202205,08 - Fruit and nuts,1836.56,26633
Exports,Namibia,8093000,202205,08 - Fruit and nuts,18.0,3017
Exports,Namibia,8092100,202205,08 - Fruit and nuts,6.0,1134
Exports,Namibia,8092900,202205,08 - Fruit and nuts,45.86,6042
Exports,Namibia,8083000,202205,08 - Fruit and nuts,76570.47,568061
Exports,Namibia,8091000,202205,08 - Fruit and nuts,103.55,13518
Exports,Namibia,8062000,202205,08 - Fruit and nuts,1874.16,70652
Exports,Namibia,8061000,202205,08 - Fruit and nuts,47566.36,889741
Exports,Namibia,8059090,202205,08 - Fruit and nuts,1117.91,13997
Exports,Namibia,8055090,202205,08 - Fruit and nuts,64.63,1194
Exports,Namibia,8059010,202205,08 - Fruit and nuts,32051.3,83209
Exports,Namibia,8052290,202205,08 - Fruit and nuts,2117.43,8820
Exports,Namibia,8052210,202205,08 - Fruit and nuts,31829.64,137801
Exports,Namibia,8052910,202205,08 - Fruit and nuts,18975.02,85440
Exports,Namibia,8039090,202205,08 - Fruit and nuts,33861.22,493869
Exports,Namibia,8052110,202205,08 - Fruit and nuts,10800.0,10800
Exports,Namibia,8052190,202205,08 - Fruit and nuts,4200.0,6000
Exports,Namibia,8051010,202205,08 - Fruit and nuts,342769.66,2064489
Exports,Namibia,8031010,202205,08 - Fruit and nuts,59331.33,511341
Exports,Namibia,8039010,202205,08 - Fruit and nuts,49403.71,430953
Exports,Namibia,8041010,202205,08 - Fruit and nuts,8092.59,158201
Exports,Namibia,8025200,202205,08 - Fruit and nuts,56.46,10737
Exports,Namibia,8026200,202205,08 - Fruit and nuts,22.12,4071
Exports,Namibia,8023200,202205,08 - Fruit and nuts,128.07,13055
Exports,Namibia,8022200,202205,08 - Fruit and nuts,4.8,1655
Exports,Namibia,8011190,202205,08 - Fruit and nuts,1882.97,73419
Exports,Namibia,8011110,202205,08 - Fruit and nuts,87.56,5652
Exports,Democratic Republic Of Congo,8055010,202205,08 - Fruit and nuts,1200.0,4800
Exports,Democratic Republic Of Congo,8081000,202205,08 - Fruit and nuts,47012.0,231840
Exports,Angola,8109090,202205,08 - Fruit and nuts,3600.0,21600
Exports,Angola,8105000,202205,08 - Fruit and nuts,11400.0,190203
Exports,Angola,8059010,202205,08 - Fruit and nuts,28211.2,267832
Exports,Angola,8061000,202205,08 - Fruit and nuts,39582.17,467070
Exports,Angola,8055010,202205,08 - Fruit and nuts,33600.0,245182
Exports,Angola,8042010,202205,08 - Fruit and nuts,19.2,1583
Exports,Angola,8039010,202205,08 - Fruit and nuts,925.0,5250
Exports,Angola,8104000,202205,08 - Fruit and nuts,13.5,2185
Exports,Angola,8054010,202205,08 - Fruit and nuts,8865.0,55217
Exports,Angola,8052210,202205,08 - Fruit and nuts,6240.0,35568
Exports,Angola,8081000,202205,08 - Fruit and nuts,680255.5,5160317
Exports,Angola,8083000,202205,08 - Fruit and nuts,107027.51,685559
Exports,Angola,8094000,202205,08 - Fruit and nuts,3650.0,43659
Exports,Angola,8052910,202205,08 - Fruit and nuts,18600.0,33000
Exports,Angola,8051010,202205,08 - Fruit and nuts,66787.62,421580
Exports,Angola,8052110,202205,08 - Fruit and nuts,28345.0,245167
Exports,Namibia,8135000,202205,08 - Fruit and nuts,431.98,22368
Exports,Namibia,8101000,202205,08 - Fruit and nuts,1338.79,64861
Exports,Namibia,8094000,202205,08 - Fruit and nuts,343.0,10468
Exports,Namibia,8134000,202205,08 - Fruit and nuts,2836.47,258562
Exports,Namibia,8061000,202205,08 - Fruit and nuts,3883.58,50272
Exports,Namibia,8083000,202205,08 - Fruit and nuts,2235.37,29940
Exports,Namibia,8055090,202205,08 - Fruit and nuts,117.0,466
Exports,Namibia,8059010,202205,08 - Fruit and nuts,88.3,1794
Exports,Namibia,8055010,202205,08 - Fruit and nuts,4527.8,28604
Exports,Namibia,8044010,202205,08 - Fruit and nuts,20266.77,331315
Exports,Namibia,8045010,202205,08 - Fruit and nuts,72.63,685
Exports,Namibia,8044090,202205,08 - Fruit and nuts,8.0,60
Exports,Namibia,8031010,202205,08 - Fruit and nuts,14790.0,124250
Exports,Namibia,8031090,202205,08 - Fruit and nuts,4313.8,52863
Exports,Namibia,8025100,202205,08 - Fruit and nuts,26.17,3087
Exports,Namibia,8105000,202205,08 - Fruit and nuts,952.36,39447
Exports,Namibia,8109010,202205,08 - Fruit and nuts,117.56,2284
