TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Lesotho,8059010,202301,08 - Fruit and nuts,24.0,245
Exports,Lesotho,8055010,202301,08 - Fruit and nuts,119.0,980
Exports,Lesotho,8061000,202301,08 - Fruit and nuts,7438.5,21779
Exports,Lesotho,8059090,202301,08 - Fruit and nuts,16.0,245
Exports,Eswatini,8011110,202301,08 - Fruit and nuts,160.4,12624
Exports,Eswatini,8013200,202301,08 - Fruit and nuts,1.8,600
Exports,Eswatini,8011190,202301,08 - Fruit and nuts,17.0,1775
Exports,Eswatini,8011910,202301,08 - Fruit and nuts,45.0,1350
Exports,Botswana,8041010,202301,08 - Fruit and nuts,35310.0,419750
Exports,Burkina Faso,8061000,202301,08 - Fruit and nuts,11509.0,459082
Exports,Botswana,8039010,202301,08 - Fruit and nuts,1550.0,24250
Exports,Botswana,8061000,202301,08 - Fruit and nuts,66400.0,435155
Exports,Botswana,8045010,202301,08 - Fruit and nuts,3500.0,15000
Exports,Mozambique,8013200,202301,08 - Fruit and nuts,54.17,10536
Exports,Mozambique,8012200,202301,08 - Fruit and nuts,3.4,961
Exports,Tanzania,8093000,202301,08 - Fruit and nuts,1093.0,9920
Exports,Mozambique,8021200,202301,08 - Fruit and nuts,30.53,6105
Exports,Tanzania,8092900,202301,08 - Fruit and nuts,611.0,4450
Exports,Mozambique,8021100,202301,08 - Fruit and nuts,2002.4,42558
Exports,Tanzania,8083000,202301,08 - Fruit and nuts,562.5,7073
Exports,Tanzania,8109090,202301,08 - Fruit and nuts,250.0,10318
Exports,Uganda,8081000,202301,08 - Fruit and nuts,15254.0,295345
Exports,Zambia,8061000,202301,08 - Fruit and nuts,33078.87,734660
Exports,Zambia,8072000,202301,08 - Fruit and nuts,2530.93,52144
Exports,Zambia,8071900,202301,08 - Fruit and nuts,823.0,12140
Exports,Zimbabwe,8081000,202301,08 - Fruit and nuts,57950.0,481937
Exports,Zimbabwe,8061000,202301,08 - Fruit and nuts,21800.0,134350
Exports,Zimbabwe,8055090,202301,08 - Fruit and nuts,4000.0,27888
Exports,Zimbabwe,8135000,202301,08 - Fruit and nuts,100.0,6796
Exports,Zimbabwe,8094000,202301,08 - Fruit and nuts,26000.0,221600
Exports,Zimbabwe,8093000,202301,08 - Fruit and nuts,23500.0,157450
Exports,Zimbabwe,8107000,202301,08 - Fruit and nuts,600.0,4500
Exports,Democratic Republic Of Congo,8081000,202301,08 - Fruit and nuts,5466.0,66410
Exports,Zimbabwe,8109010,202301,08 - Fruit and nuts,2500.0,13000
Exports,Democratic Republic Of Congo,8094000,202301,08 - Fruit and nuts,900.0,3780
Exports,Zimbabwe,8092900,202301,08 - Fruit and nuts,2000.0,13600
Exports,Malawi,8104000,202301,08 - Fruit and nuts,214.52,3015
Exports,Zimbabwe,8083000,202301,08 - Fruit and nuts,2500.0,14500
Exports,Malawi,8105000,202301,08 - Fruit and nuts,458.95,23335
Exports,Malawi,8109010,202301,08 - Fruit and nuts,244.43,1637
Exports,Malawi,8103000,202301,08 - Fruit and nuts,87.31,1250
Exports,Malawi,8109090,202301,08 - Fruit and nuts,1803.96,51230
Exports,Malawi,8112090,202301,08 - Fruit and nuts,37.2,8295
Exports,United Arab Emirates,8061000,202301,08 - Fruit and nuts,19647.0,711122
Exports,Germany,8062000,202301,08 - Fruit and nuts,60000.0,1927937
Exports,Germany,8029912,202301,08 - Fruit and nuts,51880.4,8623182
Exports,Zambia,8043010,202301,08 - Fruit and nuts,3060.0,10700
Exports,Zambia,8044010,202301,08 - Fruit and nuts,2000.0,7000
Exports,Zambia,8051010,202301,08 - Fruit and nuts,235260.0,1013655
Exports,Zambia,8045090,202301,08 - Fruit and nuts,50.0,2800
Exports,Zimbabwe,8011190,202301,08 - Fruit and nuts,450.0,43393
Exports,Zimbabwe,8041010,202301,08 - Fruit and nuts,35.0,1089
Exports,Lesotho,8135000,202301,08 - Fruit and nuts,89.71,9300
Exports,Burkina Faso,8081000,202301,08 - Fruit and nuts,24231.8,466700
Exports,Canada,8081000,202301,08 - Fruit and nuts,134184.0,2142176
Exports,Canada,8083000,202301,08 - Fruit and nuts,1036789.0,16740107
Exports,Canada,8061000,202301,08 - Fruit and nuts,3918093.66,154055657
Exports,Canada,8134000,202301,08 - Fruit and nuts,10847.4,2135036
Exports,Canada,8093000,202301,08 - Fruit and nuts,161751.2,4209253
Exports,Congo,8051010,202301,08 - Fruit and nuts,5300.0,90739
Exports,Congo,8061000,202301,08 - Fruit and nuts,16715.44,335652
Exports,Congo,8081000,202301,08 - Fruit and nuts,101352.94,1609004
Exports,Congo,8055010,202301,08 - Fruit and nuts,1450.0,25180
Exports,China,8026100,202301,08 - Fruit and nuts,50200.0,3430030
Exports,Denmark,8061000,202301,08 - Fruit and nuts,310682.9,8545042
Exports,France,8062000,202301,08 - Fruit and nuts,129096.0,6212981
Exports,France,8081000,202301,08 - Fruit and nuts,84590.52,1134386
Exports,France,8061000,202301,08 - Fruit and nuts,76055.86,2650609
Exports,United Kingdom,8061000,202301,08 - Fruit and nuts,15422964.92,525188346
Exports,Ghana,8083000,202301,08 - Fruit and nuts,9425.9,108244
Exports,Ghana,8081000,202301,08 - Fruit and nuts,794584.51,10227700
Exports,Ghana,8061000,202301,08 - Fruit and nuts,88104.89,2062490
Exports,Ghana,8062000,202301,08 - Fruit and nuts,158.3,8634
Exports,Guinea,8081000,202301,08 - Fruit and nuts,77896.0,829970
Exports,Guinea,8094000,202301,08 - Fruit and nuts,4877.6,83856
Exports,Sri Lanka,8061000,202301,08 - Fruit and nuts,15948.0,207647
Exports,Madagascar,8061000,202301,08 - Fruit and nuts,5625.0,261811
Exports,Madagascar,8081000,202301,08 - Fruit and nuts,34748.0,557211
Exports,Malaysia,8094000,202301,08 - Fruit and nuts,3383.0,265726
Exports,Malaysia,8104000,202301,08 - Fruit and nuts,2816.0,142203
Exports,Namibia,8039010,202301,08 - Fruit and nuts,68.0,988
Exports,Malaysia,8061000,202301,08 - Fruit and nuts,910.0,100394
Exports,Namibia,8039090,202301,08 - Fruit and nuts,476.0,6916
Exports,Namibia,8055010,202301,08 - Fruit and nuts,643.0,10613
Exports,Namibia,8044090,202301,08 - Fruit and nuts,463.0,11299
Exports,Namibia,8051090,202301,08 - Fruit and nuts,30.0,425
Exports,Namibia,8052910,202301,08 - Fruit and nuts,24.0,380
Exports,Poland,8112090,202301,08 - Fruit and nuts,23112.0,610938
Exports,Russian Federation,8021200,202301,08 - Fruit and nuts,360257.58,34214893
Exports,Qatar,8061000,202301,08 - Fruit and nuts,97554.0,3120929
Exports,Saudi Arabia,8091000,202301,08 - Fruit and nuts,9945.0,139537
Exports,Saudi Arabia,8093000,202301,08 - Fruit and nuts,27540.0,638268
Exports,Qatar,8061000,202301,08 - Fruit and nuts,8543.0,73980
Exports,Saudi Arabia,8133000,202301,08 - Fruit and nuts,517.0,85130
Exports,Qatar,8102000,202301,08 - Fruit and nuts,15791.6,3737035
Exports,Qatar,8094000,202301,08 - Fruit and nuts,346.0,1320
Exports,Saudi Arabia,8083000,202301,08 - Fruit and nuts,227079.0,3595547
Exports,Rwanda,8093000,202301,08 - Fruit and nuts,1320.0,26028
